hs_link,hs_name,hs_city,hs_state,player_link,player_name,pos,nfl_team,year_min,year_max
high_schools.cgi?id=93b88586,C.F. Vigor,Prichard,AL,/players/L/LankEl99.htm,Ellis Lankster,DB,"BUF,NYJ",2009,2014
high_schools.cgi?id=93b88586,C.F. Vigor,Prichard,AL,/players/A/AndeWi00.htm,Willie Anderson ,T,"CIN,BAL",1996,2008
high_schools.cgi?id=93b88586,C.F. Vigor,Prichard,AL,/players/P/PortMa20.htm,Marico Portis,G,TEN,2004,2004
high_schools.cgi?id=93b88586,C.F. Vigor,Prichard,AL,/players/S/SimmTe20.htm,Terrance Simmons ,DT,CAR,2002,2002
high_schools.cgi?id=93b88586,C.F. Vigor,Prichard,AL,/players/R/ReesAl20.htm,Albert Reese,DT,SFO,1997,1997
high_schools.cgi?id=93b88586,C.F. Vigor,Prichard,AL,/players/L/LeexKe00.htm,Kevin Lee ,WR,"NWE,SFO",1995,1996
high_schools.cgi?id=93b88586,C.F. Vigor,Prichard,AL,/players/W/WindDa20.htm,Dave Windham,LB,WAS,1987,1987
high_schools.cgi?id=93b88586,C.F. Vigor,Prichard,AL,/players/B/BrazRo00.htm,Robert Brazile ,LB,HOU,1975,1984
high_schools.cgi?id=93b88586,C.F. Vigor,Prichard,AL,/players/Y/YounRi00.htm,Rickey Young,RB,"SDG,MIN",1975,1983
high_schools.cgi?id=93b88586,C.F. Vigor,Prichard,AL,/players/R/ReesDo20.htm,Don Reese,DT-DE,"MIA,NOR,SDG",1974,1981
high_schools.cgi?id=93b88586,C.F. Vigor,Prichard,AL,/players/H/HuntSc00.htm,Scott Hunter,QB,"GNB,BUF,ATL,DET",1971,1979
high_schools.cgi?id=93b88586,C.F. Vigor,Prichard,AL,/players/C/CranPa20.htm,Paul Crane ,LB-C,NYJ,1966,1972
high_schools.cgi?id=93b9a083,Anniston,Anniston,AL,/players/P/PopeTr00.htm,Troymaine Pope,RB,"NYJ,SEA,LAC",2016,2020
high_schools.cgi?id=93b9a083,Anniston,Anniston,AL,/players/C/CaveQu20.htm,Quinton Caver,LB,"PHI,KAN,DAL",2001,2005
high_schools.cgi?id=93b9a083,Anniston,Anniston,AL,/players/D/DaviEr00.htm,Eric Davis,DB,"SFO,CAR,DEN,DET",1990,2002
high_schools.cgi?id=93b9a083,Anniston,Anniston,AL,/players/B/BowiLa00.htm,Larry Bowie,RB,WAS,1996,1999
<<<<<<< HEAD
=======
high_schools.cgi?id=93b9a083,Anniston,Anniston,AL,/players/M/MaysKi20.htm,Kivuusama Mays,LB,"MIN,GNB",1998,1999
>>>>>>> 4a13267da55e4c864cc1f1a45f74b2b15d98ed1e
high_schools.cgi?id=93b9a083,Anniston,Anniston,AL,/players/W/WattOr20.htm,Orlando Watters,DB,SEA,1994,1994
high_schools.cgi?id=93b9a083,Anniston,Anniston,AL,/players/D/DialAl20.htm,Alan Dial,DB,PHI,1989,1989
high_schools.cgi?id=93b9a083,Anniston,Anniston,AL,/players/F/FranAn00.htm,Andra Franklin,RB,MIA,1981,1984
high_schools.cgi?id=93b9a083,Anniston,Anniston,AL,/players/H/HutcKe20.htm,Ken Hutcherson,LB,"DAL,SDG",1974,1975
high_schools.cgi?id=93b9a083,Anniston,Anniston,AL,/players/G/GreeAl23.htm,Al Greer,E,DET,1963,1963
high_schools.cgi?id=93b9a083,Anniston,Anniston,AL,/players/S/StewVa20.htm,Vaughn Stewart,C,"BKN,CRD",1943,1944
high_schools.cgi?id=93b9a083,Anniston,Anniston,AL,/players/D/DaviRa21.htm,Ray Davis ,C-G-T-E,PRT,1932,1933
high_schools.cgi?id=93ba9e1a,Central,Phenix City,AL,/players/M/McKiJ.00.htm,J.D. McKissic,WR,"SEA,DET,WAS",2016,2020
high_schools.cgi?id=93ba9e1a,Central,Phenix City,AL,/players/H/HowaCo20.htm,Cordaro Howard,T,BUF,2010,2010
high_schools.cgi?id=93ba9e1a,Central,Phenix City,AL,/players/L/LukeTr00.htm,Triandos Luke,WR,DEN,2004,2004
high_schools.cgi?id=93ba9e1a,Central,Phenix City,AL,/players/L/LoweRe20.htm,Reggie Lowe,DE,JAX,1998,1998
high_schools.cgi?id=93ba9e1a,Central,Phenix City,AL,/players/K/KingEd21.htm,Ed King,G-T,"CLE,NOR",1991,1997
high_schools.cgi?id=93ba9e1a,Central,Phenix City,AL,/players/J/JoseJa00.htm,James Joseph,RB,"PHI,CIN",1991,1995
high_schools.cgi?id=93ba9e1a,Central,Phenix City,AL,/players/C/CastJe21.htm,Jeremiah Castille,DB,"TAM,DEN",1983,1988
high_schools.cgi?id=93ba9e1a,Central,Phenix City,AL,/players/J/JackBi00.htm,Billy Jackson,RB,KAN,1981,1984
high_schools.cgi?id=93ba9e1a,Central,Phenix City,AL,/players/S/StepBr20.htm,Bruce Stephens,WR,NYJ,1978,1978
high_schools.cgi?id=93ba9e1a,Central,Phenix City,AL,/players/R/RayxDa21.htm,David Ray,K,RAM,1969,1974
high_schools.cgi?id=93ba9e1a,Central,Phenix City,AL,/players/L/LeexHe20.htm,Herman Lee ,T-G,"PIT,CHI",1957,1966
high_schools.cgi?id=93ba4af8,Mattie T. Blount,Prichard,AL,/players/C/CraiDa00.htm,Dameyune Craig,QB,CAR,2000,2001
high_schools.cgi?id=93ba4af8,Mattie T. Blount,Prichard,AL,/players/W/WillSh00.htm,Sherman Williams,RB,DAL,1995,1999
high_schools.cgi?id=93ba4af8,Mattie T. Blount,Prichard,AL,/players/B/BurrDe20.htm,Derrick Burroughs,DB,BUF,1985,1989
high_schools.cgi?id=93ba4af8,Mattie T. Blount,Prichard,AL,/players/E/EvanJa22.htm,James Evans,RB,KAN,1987,1987
high_schools.cgi?id=93ba4af8,Mattie T. Blount,Prichard,AL,/players/J/JohnAl25.htm,Alonzo Johnson ,LB,PHI,1986,1987
high_schools.cgi?id=93ba4af8,Mattie T. Blount,Prichard,AL,/players/P/PoweKa20.htm,Karl Powe,WR,DAL,1985,1986
high_schools.cgi?id=93ba4af8,Mattie T. Blount,Prichard,AL,/players/C/CowaLa20.htm,Larry Cowan,RB,"MIA,NWE",1982,1982
high_schools.cgi?id=93ba4af8,Mattie T. Blount,Prichard,AL,/players/S/StokSi20.htm,Sims Stokes,WR,DAL,1967,1967
high_schools.cgi?id=93ba4af8,Mattie T. Blount,Prichard,AL,/players/P/ParkCh20.htm,Charlie Parker,G,DEN,1965,1965
high_schools.cgi?id=93b8b976,Sidney Lanier,Montgomery,AL,/players/J/JameJe20.htm,Jeno James,G,"CAR,MIA",2000,2006
high_schools.cgi?id=93b8b976,Sidney Lanier,Montgomery,AL,/players/B/BarlRe00.htm,Reggie Barlow,WR,"JAX,TAM",1996,2003
high_schools.cgi?id=93b8b976,Sidney Lanier,Montgomery,AL,/players/D/DaviJo01.htm,Johnny Davis,RB,"TAM,SFO,CLE",1978,1987
high_schools.cgi?id=93b8b976,Sidney Lanier,Montgomery,AL,/players/N/NeviTo00.htm,Tom Neville,T,"BOS,NWE,DEN,NYG",1965,1979
high_schools.cgi?id=93b8b976,Sidney Lanier,Montgomery,AL,/players/R/RainMi20.htm,Mike Raines,DT-DE,SFO,1974,1974
high_schools.cgi?id=93b8b976,Sidney Lanier,Montgomery,AL,/players/F/FlowRi20.htm,Richmond Flowers,DB-WR,"DAL,NYG",1969,1973
high_schools.cgi?id=93b8b976,Sidney Lanier,Montgomery,AL,/players/S/StarBa00.htm,Bart Starr,QB,GNB,1956,1971
high_schools.cgi?id=93b8b976,Sidney Lanier,Montgomery,AL,/players/A/AvinBu00.htm,Butch Avinger,FB,NYG,1953,1953
high_schools.cgi?id=93b8b976,Sidney Lanier,Montgomery,AL,/players/B/BusbSh20.htm,Sherrill Busby,DE,BKN,1940,1940
high_schools.cgi?id=93b8b976,Sidney Lanier,Montgomery,AL,/players/R/RotoHe20.htm,Herb Roton,E,PHI,1937,1937
high_schools.cgi?id=93b93f5f,George Washington Carver,Montgomery,AL,/players/D/DionSh00.htm,Shaun Dion Hamilton,LB,WAS,2018,2020
high_schools.cgi?id=93b93f5f,George Washington Carver,Montgomery,AL,/players/B/BrowMi21.htm,Milford Brown,G,"HOU,ARI,STL,JAX",2003,2008
high_schools.cgi?id=93b93f5f,George Washington Carver,Montgomery,AL,/players/H/HardTe00.htm,Terry Hardy ,TE,ARI,1998,2001
high_schools.cgi?id=93b93f5f,George Washington Carver,Montgomery,AL,/players/B/BrucAu20.htm,Aundray Bruce,LB-TE-DE,"ATL,RAI,OAK",1988,1998
high_schools.cgi?id=93b93f5f,George Washington Carver,Montgomery,AL,/players/V/VinsFe20.htm,Fernandus Vinson,DB,CIN,1991,1994
high_schools.cgi?id=93b93f5f,George Washington Carver,Montgomery,AL,/players/B/BragBy20.htm,Byron Braggs,DE,"GNB,TAM",1981,1984
high_schools.cgi?id=93b93f5f,George Washington Carver,Montgomery,AL,/players/S/SandCl20.htm,Clarence Sanders ,LB,KAN,1978,1980
high_schools.cgi?id=93b93f5f,George Washington Carver,Montgomery,AL,/players/A/AlexWi20.htm,Willie Alexander,DB,HOU,1971,1979
high_schools.cgi?id=93b93f5f,George Washington Carver,Montgomery,AL,/players/B/BelsCe20.htm,Ceasar Belser,DB,"KAN,SFO",1968,1974
high_schools.cgi?id=93b9ee3f,Jefferson Davis,Montgomery,AL,/players/G/GuntLa00.htm,Ladarius Gunter,CB,"GNB,CAR",2015,2017
high_schools.cgi?id=93b9ee3f,Jefferson Davis,Montgomery,AL,/players/J/JohnRo04.htm,Robert Johnson,TE,"CHI,WAS",2003,2005
high_schools.cgi?id=93b9ee3f,Jefferson Davis,Montgomery,AL,/players/W/WillDa22.htm,Davern Williams,DT,NYG,2004,2004
high_schools.cgi?id=93b9ee3f,Jefferson Davis,Montgomery,AL,/players/T/TeagGe20.htm,George Teague,DB,"GNB,DAL,MIA",1993,2001
high_schools.cgi?id=93b9ee3f,Jefferson Davis,Montgomery,AL,/players/B/BrocFr00.htm,Fred Brock ,WR,ARI,1997,1998
high_schools.cgi?id=93b9ee3f,Jefferson Davis,Montgomery,AL,/players/P/ParkOr20.htm,Orlando Parker,WR,NYJ,1994,1994
high_schools.cgi?id=93b9ee3f,Jefferson Davis,Montgomery,AL,/players/T/ThorGe20.htm,George Thornton ,DT-DE-NT,"SDG,NYG",1991,1993
high_schools.cgi?id=93b9ee3f,Jefferson Davis,Montgomery,AL,/players/S/StewCu20.htm,Curtis Stewart,RB,DAL,1989,1989
high_schools.cgi?id=93b9ee3f,Jefferson Davis,Montgomery,AL,/players/H/HollSt21.htm,Steve Holloway,TE,TAM,1987,1987
high_schools.cgi?id=93b92305,Robert E. Lee,Montgomery,AL,/players/C/CaldAn20.htm,Antoine Caldwell,C,HOU,2009,2012
high_schools.cgi?id=93b92305,Robert E. Lee,Montgomery,AL,/players/W/WearFr21.htm,Fred Weary,G,HOU,2002,2007
high_schools.cgi?id=93b92305,Robert E. Lee,Montgomery,AL,/players/B/BeasFr00.htm,Fred Beasley,FB,SFO,1998,2005
high_schools.cgi?id=93b92305,Robert E. Lee,Montgomery,AL,/players/R/RogeTy20.htm,Tyrone Rogers,DE,CLE,1999,2004
high_schools.cgi?id=93b92305,Robert E. Lee,Montgomery,AL,/players/W/WashMi21.htm,Mike Washington,DB,TAM,1976,1984
high_schools.cgi?id=93b92305,Robert E. Lee,Montgomery,AL,/players/G/GrosLe20.htm,Lee Gross,C,"NOR,BAL",1975,1979
high_schools.cgi?id=93b92305,Robert E. Lee,Montgomery,AL,/players/T/TownCu20.htm,Curtis Townsend,LB,STL,1978,1978
high_schools.cgi?id=93b92305,Robert E. Lee,Montgomery,AL,/players/M/McInSe00.htm,Secdrick McIntyre,RB,ATL,1977,1977
high_schools.cgi?id=93b92305,Robert E. Lee,Montgomery,AL,/players/B/BeasTe00.htm,Terry Beasley,WR,SFO,1972,1975
high_schools.cgi?id=93ba263a,Eufaula,Eufaula,AL,/players/N/NealSi00.htm,Siran Neal,CB,BUF,2018,2020
high_schools.cgi?id=93ba263a,Eufaula,Eufaula,AL,/players/W/WoodXa01.htm,Xavier Woodson-Luster,LB,"OAK,CLE",2017,2018
high_schools.cgi?id=93ba263a,Eufaula,Eufaula,AL,/players/U/UpshCo00.htm,Courtney Upshaw,OLB,"BAL,ATL",2012,2017
high_schools.cgi?id=93ba263a,Eufaula,Eufaula,AL,/players/J/JernJe00.htm,Jerrel Jernigan,WR,NYG,2011,2014
high_schools.cgi?id=93ba263a,Eufaula,Eufaula,AL,/players/B/BrutDa20.htm,Daryon Brutley,DB,PHI,2003,2003
high_schools.cgi?id=93ba263a,Eufaula,Eufaula,AL,/players/R/ReevWa00.htm,Walter Reeves,TE,"PHO,CLE,SDG",1989,1996
high_schools.cgi?id=93ba263a,Eufaula,Eufaula,AL,/players/T/TramAl20.htm,Allen Trammel,DB,HOU,1966,1966
high_schools.cgi?id=93ba263a,Eufaula,Eufaula,AL,/players/W/WatsDa20.htm,Dave Watson,G,BOS,1963,1964
high_schools.cgi?id=93bacbab,Daphne,Daphne,AL,/players/A/AndeRy00.htm,Ryan Anderson,OLB,WAS,2017,2020
high_schools.cgi?id=93bacbab,Daphne,Daphne,AL,/players/Y/YeldT.00.htm,T.J. Yeldon,RB,"JAX,BUF",2015,2020
high_schools.cgi?id=93bacbab,Daphne,Daphne,AL,/players/P/PierMi00.htm,Michael Pierce,DT,BAL,2016,2019
high_schools.cgi?id=93bacbab,Daphne,Daphne,AL,/players/L/LeexEr00.htm,Eric Lee,LB,"NWE,DET",2017,2018
high_schools.cgi?id=93bacbab,Daphne,Daphne,AL,/players/M/MillDr00.htm,Drew Miller,C,STL,2011,2011
high_schools.cgi?id=93bacbab,Daphne,Daphne,AL,/players/C/ClarJe01.htm,Jeremy Clark,DT,"NYG,DAL,PHI",2008,2010
high_schools.cgi?id=93bacbab,Daphne,Daphne,AL,/players/W/WhitPa01.htm,Pat White,WR,MIA,2009,2009
high_schools.cgi?id=93bacbab,Daphne,Daphne,AL,/players/K/KingKe20.htm,Kenny King,DE,ARI,2003,2003
high_schools.cgi?id=93bd76c2,Wenonah,Birmingham,AL,/players/W/WebbJo00.htm,Joe Webb,WR,"MIN,CAR,BUF,HOU,NYG",2010,2020
high_schools.cgi?id=93bd76c2,Wenonah,Birmingham,AL,/players/W/WillQu00.htm,Quinnen Williams,DL,NYJ,2019,2020
high_schools.cgi?id=93bd76c2,Wenonah,Birmingham,AL,/players/W/WillQu01.htm,Quincy Williams,,JAX,2019,2020
high_schools.cgi?id=93bd76c2,Wenonah,Birmingham,AL,/players/W/WillCh20.htm,Chad Williams,DB,"BAL,SFO",2002,2006
high_schools.cgi?id=93bd76c2,Wenonah,Birmingham,AL,/players/E/EphrAl20.htm,Alonzo Ephraim,C,"PHI,MIA",2003,2005
high_schools.cgi?id=93bd76c2,Wenonah,Birmingham,AL,/players/J/JennLi20.htm,Ligarius Jennings,DB,CIN,2001,2002
high_schools.cgi?id=93bd76c2,Wenonah,Birmingham,AL,/players/S/ShadSa20.htm,Sam Shade,DB,"CIN,WAS",1995,2002
high_schools.cgi?id=93bd76c2,Wenonah,Birmingham,AL,/players/M/McDaJo00.htm,John McDaniel,WR,"CIN,WAS",1974,1980
high_schools.cgi?id=93b89606,Phillips,Birmingham,AL,/players/C/CotcJe00.htm,Jerricho Cotchery,WR,"NYJ,PIT,CAR",2004,2015
high_schools.cgi?id=93b89606,Phillips,Birmingham,AL,/players/W/WarrFr20.htm,Frank Warren,DE-NT,NOR,1981,1994
high_schools.cgi?id=93b89606,Phillips,Birmingham,AL,/players/W/WalkTo20.htm,Tony Walker,LB,IND,1990,1992
<<<<<<< HEAD
=======
high_schools.cgi?id=93b89606,Phillips,Birmingham,AL,/players/E/EddiFl00.htm,Floyd Eddings,WR,NYG,1982,1983
>>>>>>> 4a13267da55e4c864cc1f1a45f74b2b15d98ed1e
high_schools.cgi?id=93b89606,Phillips,Birmingham,AL,/players/W/WilsJe21.htm,Jerry Wilson,DE,"PHI,SFO",1959,1960
high_schools.cgi?id=93b89606,Phillips,Birmingham,AL,/players/C/CremTe20.htm,Ted Cremer,E-DE,"DET,GNB",1946,1948
high_schools.cgi?id=93b89606,Phillips,Birmingham,AL,/players/S/SchuBi20.htm,Bill Schuler,T,NYG,1947,1948
high_schools.cgi?id=93b89606,Phillips,Birmingham,AL,/players/A/AriaGu20.htm,Gump Ariail,E,"BKN,CIN",1934,1934
high_schools.cgi?id=93b8f678,Valley,Valley,AL,/players/W/WareJy00.htm,Jylan Ware,OT,OAK,2017,2017
high_schools.cgi?id=93b8f678,Valley,Valley,AL,/players/P/PollMa00.htm,Marcus Pollard,TE,"IND,DET,SEA,ATL",1995,2008
high_schools.cgi?id=93b8f678,Valley,Valley,AL,/players/H/HallLe20.htm,Lemanski Hall,LB,"HOU,TEN,CHI,DAL,MIN",1995,2002
high_schools.cgi?id=93b8f678,Valley,Valley,AL,/players/C/CopeJo20.htm,John Copeland,DE-DT-NT,CIN,1993,2000
high_schools.cgi?id=93b8f678,Valley,Valley,AL,/players/W/WillGe22.htm,Gerald Williams,NT-DE-DT,"PIT,CAR,GNB",1986,1997
high_schools.cgi?id=93b8f678,Valley,Valley,AL,/players/T/ThomDa23.htm,Dave Thompson,T-C-G,"DET,NOR",1971,1975
high_schools.cgi?id=93b8f678,Valley,Valley,AL,/players/B/BarnGa00.htm,Gary Barnes,WR,"GNB,DAL,CHI,ATL",1962,1967
high_schools.cgi?id=93bfc8e4,Auburn,Auburn,AL,/players/E/EvanRa01.htm,Rashaan Evans,ILB,TEN,2018,2020
high_schools.cgi?id=93bfc8e4,Auburn,Auburn,AL,/players/C/CoreCo00.htm,Cody Core,WR,"CIN,NYG",2016,2019
<<<<<<< HEAD
=======
high_schools.cgi?id=93bfc8e4,Auburn,Auburn,AL,/players/F/FostRe00.htm,Reuben Foster ,ILB,SFO,2017,2018
>>>>>>> 4a13267da55e4c864cc1f1a45f74b2b15d98ed1e
high_schools.cgi?id=93bfc8e4,Auburn,Auburn,AL,/players/W/WareDe99.htm,DeMarcus Ware,LB,"DAL,DEN",2005,2016
high_schools.cgi?id=93bfc8e4,Auburn,Auburn,AL,/players/U/UmenOs99.htm,Osi Umenyiora,DE,"NYG,ATL",2003,2014
high_schools.cgi?id=93bfc8e4,Auburn,Auburn,AL,/players/W/WashMa99.htm,Marcus Washington,LB,"IND,WAS",2000,2008
high_schools.cgi?id=93bfc8e4,Auburn,Auburn,AL,/players/R/RoweEu20.htm,Eugene Rowell,WR,CLE,1990,1990
high_schools.cgi?id=93b9625a,Decatur,Decatur,AL,/players/H/HayeTa00.htm,Tae Hayes,DB,"JAX,MIA,MIN",2019,2020
high_schools.cgi?id=93b9625a,Decatur,Decatur,AL,/players/P/PoweJe99.htm,Jerraud Powers,DB,"IND,ARI,BAL",2009,2016
high_schools.cgi?id=93b9625a,Decatur,Decatur,AL,/players/M/McClRo00.htm,Rolando McClain,LB,"OAK,DAL",2010,2015
high_schools.cgi?id=93b9625a,Decatur,Decatur,AL,/players/B/BiddTa00.htm,Taye Biddle,WR,CAR,2006,2006
high_schools.cgi?id=93b9625a,Decatur,Decatur,AL,/players/D/DaviFr21.htm,Fred Davis,DB,SEA,1987,1987
high_schools.cgi?id=93b9625a,Decatur,Decatur,AL,/players/P/PerrBe20.htm,Benny Perrin ,DB,STL,1982,1985
high_schools.cgi?id=93b9625a,Decatur,Decatur,AL,/players/F/FreeBo20.htm,Bobby Freeman ,DB,"CLE,GNB,PHI,WAS",1957,1962
high_schools.cgi?id=93b9ee04,Benjamin Russell,Alexander City,AL,/players/O/OwenTe00.htm,Terrell Owens,WR,"SFO,PHI,DAL,BUF,CIN",1996,2010
high_schools.cgi?id=93b9ee04,Benjamin Russell,Alexander City,AL,/players/B/BrocEr20.htm,Eric Brock ,DB,ATL,2008,2009
high_schools.cgi?id=93b9ee04,Benjamin Russell,Alexander City,AL,/players/V/VineSc00.htm,Scottie Vines,WR,DET,2004,2005
high_schools.cgi?id=93b9ee04,Benjamin Russell,Alexander City,AL,/players/P/ParkRo20.htm,Robert Parker,RB,KAN,1987,1987
high_schools.cgi?id=93b9ee04,Benjamin Russell,Alexander City,AL,/players/P/PoolNa00.htm,Nathan Poole,RB,"CIN,DEN",1979,1987
high_schools.cgi?id=93b9ee04,Benjamin Russell,Alexander City,AL,/players/P/PhilJi00.htm,Red Phillips,E,"RAM,MIN",1958,1967
high_schools.cgi?id=93b9ee04,Benjamin Russell,Alexander City,AL,/players/W/WhatJi20.htm,Jim Whatley,T-DE-E,BKN,1936,1938
high_schools.cgi?id=93b9ac1d,Robert E. Lee,Huntsville,AL,/players/O/OkoyAm99.htm,Amobi Okoye,DT,"HOU,CHI,DAL",2007,2014
high_schools.cgi?id=93b9ac1d,Robert E. Lee,Huntsville,AL,/players/R/RaybIs20.htm,Israel Raybon,DE,"PIT,CAR",1996,1997
high_schools.cgi?id=93b9ac1d,Robert E. Lee,Huntsville,AL,/players/M/MoorRi00.htm,Ricky Moore,RB,"BUF,HOU,PHO",1986,1988
high_schools.cgi?id=93b9ac1d,Robert E. Lee,Huntsville,AL,/players/B/BoydTh20.htm,Thomas Boyd,LB,DET,1987,1987
high_schools.cgi?id=93b9ac1d,Robert E. Lee,Huntsville,AL,/players/B/ButlKe20.htm,Keith Butler,LB,SEA,1978,1987
high_schools.cgi?id=93b9ac1d,Robert E. Lee,Huntsville,AL,/players/S/ScisWi20.htm,Willard Scissum,T-G,WAS,1987,1987
high_schools.cgi?id=93b9ac1d,Robert E. Lee,Huntsville,AL,/players/S/ScalDw00.htm,Dwight Scales,WR,"RAM,NYG,SDG,SEA",1976,1984
high_schools.cgi?id=93bad6b4,Opelika,Opelika,AL,/players/G/GranCo00.htm,Corey Grant,RB,JAX,2015,2018
high_schools.cgi?id=93bad6b4,Opelika,Opelika,AL,/players/H/HerrWi99.htm,Will Herring,LB,"SEA,NOR,STL",2007,2014
high_schools.cgi?id=93bad6b4,Opelika,Opelika,AL,/players/C/ClayZa00.htm,Zach Clayton,DT,TEN,2011,2012
high_schools.cgi?id=93bad6b4,Opelika,Opelika,AL,/players/J/JackTo20.htm,T.J. Jackson,DT,"ATL,KAN",2006,2008
high_schools.cgi?id=93bad6b4,Opelika,Opelika,AL,/players/O/OlivMe20.htm,Melvin Oliver,DE,SFO,2006,2006
high_schools.cgi?id=93bad6b4,Opelika,Opelika,AL,/players/S/SmitBr23.htm,Brian Smith,LB-DT,RAM,1989,1990
high_schools.cgi?id=93bad6b4,Opelika,Opelika,AL,/players/S/SmitDa23.htm,Daryl Smith,DB,"CIN,MIN",1987,1989
high_schools.cgi?id=93bbbfb5,Banks,Birmingham,AL,/players/H/HerrJe20.htm,Jeff Herrod,LB,"IND,PHI",1988,1998
high_schools.cgi?id=93bbbfb5,Banks,Birmingham,AL,/players/D/DowdMa00.htm,Marcus Dowdell,WR,"NOR,ARI",1992,1996
high_schools.cgi?id=93bbbfb5,Banks,Birmingham,AL,/players/R/RutlJe00.htm,Jeff Rutledge,QB,"RAM,NYG,WAS",1979,1992
high_schools.cgi?id=93bbbfb5,Banks,Birmingham,AL,/players/S/ShieBi20.htm,Billy Shields,T,"SDG,SFO,KAN,NYJ",1975,1985
high_schools.cgi?id=93bbbfb5,Banks,Birmingham,AL,/players/M/MussJo00.htm,Johnny Musso,RB,CHI,1975,1977
high_schools.cgi?id=93bbbfb5,Banks,Birmingham,AL,/players/W/WillLa22.htm,Larry Willingham,DB,STL,1971,1972
