Year,Name,Pos,Snaps D,Total Snaps D,Pct D
2019,Dashaun Jerkins,S,632,828,0.763
2019,Christian James,DI,5,828,0.006
2019,Dimitri Moore,LB,725,828,0.876
2019,Cameron Robinson,DI,3,828,0.004
2019,Dontye Carriere-Williams,CB,213,828,0.257
2019,Daevion Davis,DI,251,828,0.303
2019,Maxwell Worship,S,117,828,0.141
2019,Brandon Maddox,DI,69,828,0.083
2019,Feleti Afemui,LB,495,828,0.598
2020,Andre Mintze,ED,408,624,0.654
2020,Dayo Odeyingbo,ED,428,624,0.686
2020,Christian James,ED,110,624,0.176
2020,Maxwell Worship,S,311,624,0.498
2020,Lorenza Surgers,ED,13,624,0.021
2020,Brendon Harris,S,339,624,0.543
2020,Daevion Davis,DI,241,624,0.386
2020,Keithian Starling Jr.,WR,1,624,0.002
2020,Nate Clifton,ED,149,624,0.239
2020,Cam Johnson,WR,1,624,0.002
2020,Tyrell Alexander,WR,1,624,0.002
2020,De'Rickey Wright,S,64,624,0.103
2020,Dontye Carriere-Williams,CB,163,624,0.261
2020,Rocko Griffin Jr.,HB,1,624,0.002
2020,Drew Birchmeier,G,30,624,0.048
2020,Cameron Tidd,DI,212,624,0.34
2020,Gabe Jeudy-Lally,CB,225,624,0.361
2020,Michael Owusu,ED,116,624,0.186
2020,Anfernee Orji,S,474,624,0.76
2020,Donovan Kaufman,S,101,624,0.162
2020,Raashaan Wilkins Jr.,DI,308,624,0.494
2020,Allan George,CB,493,624,0.79
2020,Derek Green,DI,109,624,0.175
2020,Ethan Barr,LB,232,624,0.372
2020,Jaylen Mahoney,CB,531,624,0.851
2020,Ryan McCord,CB,1,624,0.002
2020,Rutger Reitmaier,ED,49,624,0.079
2020,Randall Haynie,CB,102,624,0.163
2020,Dashaun Jerkins,S,424,624,0.679
2020,Malik Langham,DI,138,624,0.221
2020,Brayden DeVault-Smith,LB,92,624,0.147
2020,Elijah Hamilton,CB,277,624,0.444
2020,Dimitri Moore,LB,268,624,0.429
2020,Frank Coppet,S,4,624,0.006
2020,Justin Harris,S,166,624,0.266
2020,Camden Coleman,S,9,624,0.014
2020,Michael Spencer,ED,36,624,0.058
2020,Kenny Hebert,LB,57,624,0.091
2020,Alston Orji,LB,114,624,0.183
2020,Chase Lloyd,S,64,624,0.103
