hs_link,hs_name,hs_city,hs_state,player_name,pos,nfl_team,year_min,year_max
high_schools.cgi?id=93ba9e1a,Central,Phenix City,AL,James Joseph,RB,"PHI,CIN",1991,1995
high_schools.cgi?id=93ba9e1a,Central,Phenix City,AL,Jeremiah Castille,DB,"TAM,DEN",1983,1988
high_schools.cgi?id=93ba9e1a,Central,Phenix City,AL,Billy Jackson,RB,KAN,1981,1984
high_schools.cgi?id=93ba9e1a,Central,Phenix City,AL,Bruce Stephens,WR,NYJ,1978,1978
high_schools.cgi?id=93ba9e1a,Central,Phenix City,AL,David Ray,K,RAM,1969,1974
high_schools.cgi?id=93ba9e1a,Central,Phenix City,AL,Herman Lee ,T-G,"PIT,CHI",1957,1966
high_schools.cgi?id=93b8b976,Sidney Lanier,Montgomery,AL,Jeno James,G,"CAR,MIA",2000,2006
high_schools.cgi?id=93b8b976,Sidney Lanier,Montgomery,AL,Reggie Barlow,WR,"JAX,TAM",1996,2003
high_schools.cgi?id=93b8b976,Sidney Lanier,Montgomery,AL,Johnny Davis,RB,"TAM,SFO,CLE",1978,1987
high_schools.cgi?id=93b8b976,Sidney Lanier,Montgomery,AL,Tom Neville,T,"BOS,NWE,DEN,NYG",1965,1979
high_schools.cgi?id=93b8b976,Sidney Lanier,Montgomery,AL,Mike Raines,DT-DE,SFO,1974,1974
high_schools.cgi?id=93b8b976,Sidney Lanier,Montgomery,AL,Richmond Flowers,DB-WR,"DAL,NYG",1969,1973
high_schools.cgi?id=93b8b976,Sidney Lanier,Montgomery,AL,Bart Starr,QB,GNB,1956,1971
high_schools.cgi?id=93b8b976,Sidney Lanier,Montgomery,AL,Butch Avinger,FB,NYG,1953,1953
high_schools.cgi?id=93b8b976,Sidney Lanier,Montgomery,AL,Sherrill Busby,DE,BKN,1940,1940
high_schools.cgi?id=93b8b976,Sidney Lanier,Montgomery,AL,Herb Roton,E,PHI,1937,1937
high_schools.cgi?id=93b93f5f,George Washington Carver,Montgomery,AL,Shaun Dion Hamilton,LB,WAS,2018,2020
high_schools.cgi?id=93b93f5f,George Washington Carver,Montgomery,AL,Milford Brown,G,"HOU,ARI,STL,JAX",2003,2008
high_schools.cgi?id=93b93f5f,George Washington Carver,Montgomery,AL,Terry Hardy ,TE,ARI,1998,2001
high_schools.cgi?id=93b93f5f,George Washington Carver,Montgomery,AL,Aundray Bruce,LB-TE-DE,"ATL,RAI,OAK",1988,1998
high_schools.cgi?id=93b93f5f,George Washington Carver,Montgomery,AL,Fernandus Vinson,DB,CIN,1991,1994
high_schools.cgi?id=93b93f5f,George Washington Carver,Montgomery,AL,Byron Braggs,DE,"GNB,TAM",1981,1984
high_schools.cgi?id=93b93f5f,George Washington Carver,Montgomery,AL,Clarence Sanders ,LB,KAN,1978,1980
high_schools.cgi?id=93b93f5f,George Washington Carver,Montgomery,AL,Willie Alexander,DB,HOU,1971,1979
high_schools.cgi?id=93b93f5f,George Washington Carver,Montgomery,AL,Ceasar Belser,DB,"KAN,SFO",1968,1974
high_schools.cgi?id=93b9ee3f,Jefferson Davis,Montgomery,AL,Ladarius Gunter,CB,"GNB,CAR",2015,2017
high_schools.cgi?id=93b9ee3f,Jefferson Davis,Montgomery,AL,Robert Johnson,TE,"CHI,WAS",2003,2005
high_schools.cgi?id=93b9ee3f,Jefferson Davis,Montgomery,AL,Davern Williams,DT,NYG,2004,2004
high_schools.cgi?id=93b9ee3f,Jefferson Davis,Montgomery,AL,George Teague,DB,"GNB,DAL,MIA",1993,2001
high_schools.cgi?id=93b9ee3f,Jefferson Davis,Montgomery,AL,Fred Brock ,WR,ARI,1997,1998
high_schools.cgi?id=93b9ee3f,Jefferson Davis,Montgomery,AL,Orlando Parker,WR,NYJ,1994,1994
high_schools.cgi?id=93b9ee3f,Jefferson Davis,Montgomery,AL,George Thornton ,DT-DE-NT,"SDG,NYG",1991,1993
high_schools.cgi?id=93b9ee3f,Jefferson Davis,Montgomery,AL,Curtis Stewart,RB,DAL,1989,1989
high_schools.cgi?id=93b9ee3f,Jefferson Davis,Montgomery,AL,Steve Holloway,TE,TAM,1987,1987
high_schools.cgi?id=93b92305,Robert E. Lee,Montgomery,AL,Antoine Caldwell,C,HOU,2009,2012
high_schools.cgi?id=93b92305,Robert E. Lee,Montgomery,AL,Fred Weary,G,HOU,2002,2007
high_schools.cgi?id=93b92305,Robert E. Lee,Montgomery,AL,Fred Beasley,FB,SFO,1998,2005
high_schools.cgi?id=93b92305,Robert E. Lee,Montgomery,AL,Tyrone Rogers,DE,CLE,1999,2004
high_schools.cgi?id=93b92305,Robert E. Lee,Montgomery,AL,Mike Washington,DB,TAM,1976,1984
high_schools.cgi?id=93b92305,Robert E. Lee,Montgomery,AL,Lee Gross,C,"NOR,BAL",1975,1979
high_schools.cgi?id=93b92305,Robert E. Lee,Montgomery,AL,Curtis Townsend,LB,STL,1978,1978
high_schools.cgi?id=93b92305,Robert E. Lee,Montgomery,AL,Secdrick McIntyre,RB,ATL,1977,1977
high_schools.cgi?id=93b92305,Robert E. Lee,Montgomery,AL,Terry Beasley,WR,SFO,1972,1975
high_schools.cgi?id=93ba4af8,Mattie T. Blount,Prichard,AL,Dameyune Craig,QB,CAR,2000,2001
high_schools.cgi?id=93ba4af8,Mattie T. Blount,Prichard,AL,Sherman Williams,RB,DAL,1995,1999
high_schools.cgi?id=93ba4af8,Mattie T. Blount,Prichard,AL,Derrick Burroughs,DB,BUF,1985,1989
high_schools.cgi?id=93ba4af8,Mattie T. Blount,Prichard,AL,James Evans,RB,KAN,1987,1987
high_schools.cgi?id=93ba4af8,Mattie T. Blount,Prichard,AL,Alonzo Johnson ,LB,PHI,1986,1987
high_schools.cgi?id=93ba4af8,Mattie T. Blount,Prichard,AL,Karl Powe,WR,DAL,1985,1986
high_schools.cgi?id=93ba4af8,Mattie T. Blount,Prichard,AL,Larry Cowan,RB,"MIA,NWE",1982,1982
high_schools.cgi?id=93ba4af8,Mattie T. Blount,Prichard,AL,Sims Stokes,WR,DAL,1967,1967
high_schools.cgi?id=93ba4af8,Mattie T. Blount,Prichard,AL,Charlie Parker,G,DEN,1965,1965
high_schools.cgi?id=93ba263a,Eufaula,Eufaula,AL,Siran Neal,CB,BUF,2018,2020
high_schools.cgi?id=93ba263a,Eufaula,Eufaula,AL,Xavier Woodson-Luster,LB,"OAK,CLE",2017,2018
high_schools.cgi?id=93ba263a,Eufaula,Eufaula,AL,Courtney Upshaw,OLB,"BAL,ATL",2012,2017
high_schools.cgi?id=93ba263a,Eufaula,Eufaula,AL,Jerrel Jernigan,WR,NYG,2011,2014
high_schools.cgi?id=93ba263a,Eufaula,Eufaula,AL,Daryon Brutley,DB,PHI,2003,2003
high_schools.cgi?id=93ba263a,Eufaula,Eufaula,AL,Walter Reeves,TE,"PHO,CLE,SDG",1989,1996
high_schools.cgi?id=93ba263a,Eufaula,Eufaula,AL,Allen Trammel,DB,HOU,1966,1966
high_schools.cgi?id=93ba263a,Eufaula,Eufaula,AL,Dave Watson,G,BOS,1963,1964
high_schools.cgi?id=93bd76c2,Wenonah,Birmingham,AL,Joe Webb,WR,"MIN,CAR,BUF,HOU,NYG",2010,2020
high_schools.cgi?id=93bd76c2,Wenonah,Birmingham,AL,Quinnen Williams,DL,NYJ,2019,2020
high_schools.cgi?id=93bd76c2,Wenonah,Birmingham,AL,Quincy Williams,,JAX,2019,2020
high_schools.cgi?id=93bd76c2,Wenonah,Birmingham,AL,Chad Williams,DB,"BAL,SFO",2002,2006
high_schools.cgi?id=93bd76c2,Wenonah,Birmingham,AL,Alonzo Ephraim,C,"PHI,MIA",2003,2005
high_schools.cgi?id=93bd76c2,Wenonah,Birmingham,AL,Ligarius Jennings,DB,CIN,2001,2002
high_schools.cgi?id=93bd76c2,Wenonah,Birmingham,AL,Sam Shade,DB,"CIN,WAS",1995,2002
high_schools.cgi?id=93bd76c2,Wenonah,Birmingham,AL,John McDaniel,WR,"CIN,WAS",1974,1980
high_schools.cgi?id=93b89606,Phillips,Birmingham,AL,Jerricho Cotchery,WR,"NYJ,PIT,CAR",2004,2015
high_schools.cgi?id=93b89606,Phillips,Birmingham,AL,Frank Warren,DE-NT,NOR,1981,1994
high_schools.cgi?id=93b89606,Phillips,Birmingham,AL,Tony Walker,LB,IND,1990,1992
high_schools.cgi?id=93b89606,Phillips,Birmingham,AL,Floyd Eddings,WR,NYG,1982,1983
high_schools.cgi?id=93b89606,Phillips,Birmingham,AL,Jerry Wilson,DE,"PHI,SFO",1959,1960
high_schools.cgi?id=93b89606,Phillips,Birmingham,AL,Ted Cremer,E-DE,"DET,GNB",1946,1948
high_schools.cgi?id=93b89606,Phillips,Birmingham,AL,Bill Schuler,T,NYG,1947,1948
high_schools.cgi?id=93b89606,Phillips,Birmingham,AL,Gump Ariail,E,"BKN,CIN",1934,1934
high_schools.cgi?id=93bacbab,Daphne,Daphne,AL,Ryan Anderson,OLB,WAS,2017,2020
high_schools.cgi?id=93bacbab,Daphne,Daphne,AL,T.J. Yeldon,RB,"JAX,BUF",2015,2020
high_schools.cgi?id=93bacbab,Daphne,Daphne,AL,Michael Pierce,DT,BAL,2016,2019
high_schools.cgi?id=93bacbab,Daphne,Daphne,AL,Eric Lee,LB,"NWE,DET",2017,2018
high_schools.cgi?id=93bacbab,Daphne,Daphne,AL,Drew Miller,C,STL,2011,2011
high_schools.cgi?id=93bacbab,Daphne,Daphne,AL,Jeremy Clark,DT,"NYG,DAL,PHI",2008,2010
high_schools.cgi?id=93bacbab,Daphne,Daphne,AL,Pat White,WR,MIA,2009,2009
high_schools.cgi?id=93bacbab,Daphne,Daphne,AL,Kenny King,DE,ARI,2003,2003
high_schools.cgi?id=93b8f678,Valley,Valley,AL,Jylan Ware,OT,OAK,2017,2017
high_schools.cgi?id=93b8f678,Valley,Valley,AL,Marcus Pollard,TE,"IND,DET,SEA,ATL",1995,2008
high_schools.cgi?id=93b8f678,Valley,Valley,AL,Lemanski Hall,LB,"HOU,TEN,CHI,DAL,MIN",1995,2002
high_schools.cgi?id=93b8f678,Valley,Valley,AL,John Copeland,DE-DT-NT,CIN,1993,2000
high_schools.cgi?id=93b8f678,Valley,Valley,AL,Gerald Williams,NT-DE-DT,"PIT,CAR,GNB",1986,1997
high_schools.cgi?id=93b8f678,Valley,Valley,AL,Dave Thompson,T-C-G,"DET,NOR",1971,1975
high_schools.cgi?id=93b8f678,Valley,Valley,AL,Gary Barnes,WR,"GNB,DAL,CHI,ATL",1962,1967
high_schools.cgi?id=93bad6b4,Opelika,Opelika,AL,Corey Grant,RB,JAX,2015,2018
high_schools.cgi?id=93bad6b4,Opelika,Opelika,AL,Will Herring,LB,"SEA,NOR,STL",2007,2014
high_schools.cgi?id=93bad6b4,Opelika,Opelika,AL,Zach Clayton,DT,TEN,2011,2012
high_schools.cgi?id=93bad6b4,Opelika,Opelika,AL,T.J. Jackson,DT,"ATL,KAN",2006,2008
high_schools.cgi?id=93bad6b4,Opelika,Opelika,AL,Melvin Oliver,DE,SFO,2006,2006
high_schools.cgi?id=93bad6b4,Opelika,Opelika,AL,Brian Smith,LB-DT,RAM,1989,1990
high_schools.cgi?id=93bad6b4,Opelika,Opelika,AL,Daryl Smith,DB,"CIN,MIN",1987,1989
high_schools.cgi?id=93bbbfb5,Banks,Birmingham,AL,Jeff Herrod,LB,"IND,PHI",1988,1998
high_schools.cgi?id=93bbbfb5,Banks,Birmingham,AL,Marcus Dowdell,WR,"NOR,ARI",1992,1996
high_schools.cgi?id=93bbbfb5,Banks,Birmingham,AL,Jeff Rutledge,QB,"RAM,NYG,WAS",1979,1992
high_schools.cgi?id=93bbbfb5,Banks,Birmingham,AL,Billy Shields,T,"SDG,SFO,KAN,NYJ",1975,1985
high_schools.cgi?id=93bbbfb5,Banks,Birmingham,AL,Johnny Musso,RB,CHI,1975,1977
high_schools.cgi?id=93bbbfb5,Banks,Birmingham,AL,Larry Willingham,DB,STL,1971,1972
high_schools.cgi?id=93bbbfb5,Banks,Birmingham,AL,Jimmy Sidle,RB,ATL,1966,1966
high_schools.cgi?id=93b9625a,Decatur,Decatur,AL,Tae Hayes,DB,"JAX,MIA,MIN",2019,2020
high_schools.cgi?id=93b9625a,Decatur,Decatur,AL,Jerraud Powers,DB,"IND,ARI,BAL",2009,2016
high_schools.cgi?id=93b9625a,Decatur,Decatur,AL,Rolando McClain,LB,"OAK,DAL",2010,2015
high_schools.cgi?id=93b9625a,Decatur,Decatur,AL,Taye Biddle,WR,CAR,2006,2006
high_schools.cgi?id=93b9625a,Decatur,Decatur,AL,Fred Davis,DB,SEA,1987,1987
high_schools.cgi?id=93b9625a,Decatur,Decatur,AL,Benny Perrin ,DB,STL,1982,1985
high_schools.cgi?id=93b9625a,Decatur,Decatur,AL,Bobby Freeman ,DB,"CLE,GNB,PHI,WAS",1957,1962
high_schools.cgi?id=93bfc8e4,Auburn,Auburn,AL,Rashaan Evans,ILB,TEN,2018,2020
high_schools.cgi?id=93bfc8e4,Auburn,Auburn,AL,Cody Core,WR,"CIN,NYG",2016,2019
high_schools.cgi?id=93bfc8e4,Auburn,Auburn,AL,Reuben Foster ,ILB,SFO,2017,2018
high_schools.cgi?id=93bfc8e4,Auburn,Auburn,AL,DeMarcus Ware,LB,"DAL,DEN",2005,2016
high_schools.cgi?id=93bfc8e4,Auburn,Auburn,AL,Osi Umenyiora,DE,"NYG,ATL",2003,2014
high_schools.cgi?id=93bfc8e4,Auburn,Auburn,AL,Marcus Washington,LB,"IND,WAS",2000,2008
high_schools.cgi?id=93bfc8e4,Auburn,Auburn,AL,Eugene Rowell,WR,CLE,1990,1990
high_schools.cgi?id=93b9ee04,Benjamin Russell,Alexander City,AL,Terrell Owens,WR,"SFO,PHI,DAL,BUF,CIN",1996,2010
high_schools.cgi?id=93b9ee04,Benjamin Russell,Alexander City,AL,Eric Brock ,DB,ATL,2008,2009
high_schools.cgi?id=93b9ee04,Benjamin Russell,Alexander City,AL,Scottie Vines,WR,DET,2004,2005
high_schools.cgi?id=93b9ee04,Benjamin Russell,Alexander City,AL,Robert Parker,RB,KAN,1987,1987
high_schools.cgi?id=93b9ee04,Benjamin Russell,Alexander City,AL,Nathan Poole,RB,"CIN,DEN",1979,1987
high_schools.cgi?id=93b9ee04,Benjamin Russell,Alexander City,AL,Red Phillips,E,"RAM,MIN",1958,1967
high_schools.cgi?id=93b9ee04,Benjamin Russell,Alexander City,AL,Jim Whatley,T-DE-E,BKN,1936,1938
high_schools.cgi?id=93b9ac1d,Robert E. Lee,Huntsville,AL,Amobi Okoye,DT,"HOU,CHI,DAL",2007,2014
high_schools.cgi?id=93b9ac1d,Robert E. Lee,Huntsville,AL,Israel Raybon,DE,"PIT,CAR",1996,1997
high_schools.cgi?id=93b9ac1d,Robert E. Lee,Huntsville,AL,Ricky Moore,RB,"BUF,HOU,PHO",1986,1988
high_schools.cgi?id=93b9ac1d,Robert E. Lee,Huntsville,AL,Thomas Boyd,LB,DET,1987,1987
high_schools.cgi?id=93b9ac1d,Robert E. Lee,Huntsville,AL,Keith Butler,LB,SEA,1978,1987
high_schools.cgi?id=93b9ac1d,Robert E. Lee,Huntsville,AL,Willard Scissum,T-G,WAS,1987,1987
high_schools.cgi?id=93b9ac1d,Robert E. Lee,Huntsville,AL,Dwight Scales,WR,"RAM,NYG,SDG,SEA",1976,1984
high_schools.cgi?id=93b91577,J.O. Johnson,Huntsville,AL,Rashad Moore,DT,"SEA,NYJ,NWE",2003,2007
high_schools.cgi?id=93b91577,J.O. Johnson,Huntsville,AL,Joey Kent,WR,TEN,1997,1999
high_schools.cgi?id=93b91577,J.O. Johnson,Huntsville,AL,James Willis,LB,"GNB,PHI,SEA",1993,1999
high_schools.cgi?id=93b91577,J.O. Johnson,Huntsville,AL,Chris Martin ,LB,"NOR,MIN,KAN,RAM",1983,1994
high_schools.cgi?id=93b91577,J.O. Johnson,Huntsville,AL,Donnie Humphrey,NT-DE,GNB,1984,1986
high_schools.cgi?id=93b91577,J.O. Johnson,Huntsville,AL,Ralph Battle,DB,CIN,1984,1984
high_schools.cgi?id=93bc5c38,Hazlewood,Town Creek,AL,Don Jones,SS,"MIA,NWE,CLE,NOR,HOU",2013,2016
high_schools.cgi?id=93bc5c38,Hazlewood,Town Creek,AL,Kalvin Pearson,DB,"CLE,TAM,DET",2002,2009
high_schools.cgi?id=93bc5c38,Hazlewood,Town Creek,AL,Antonio Langham,DB,"CLE,BAL,SFO,NWE",1994,2000
high_schools.cgi?id=93bc5c38,Hazlewood,Town Creek,AL,Chris Goode,DB,IND,1987,1993
high_schools.cgi?id=93bc5c38,Hazlewood,Town Creek,AL,Kerry Goode,RB,"TAM,MIA",1988,1989
high_schools.cgi?id=93bc5c38,Hazlewood,Town Creek,AL,Jack Manley,LB-C,SFO,1953,1953
high_schools.cgi?id=93b89be0,John Carroll,Birmingham,AL,T.J. Slaughter,LB,"JAX,GNB,BAL,NOR,SFO",2000,2006
high_schools.cgi?id=93b89be0,John Carroll,Birmingham,AL,Trace Armstrong ,DE,"CHI,MIA,OAK",1989,2003
high_schools.cgi?id=93b89be0,John Carroll,Birmingham,AL,Wes Hopkins,DB,PHI,1983,1993
high_schools.cgi?id=93b89be0,John Carroll,Birmingham,AL,Tom Banks,C-G,STL,1971,1980
high_schools.cgi?id=93b89be0,John Carroll,Birmingham,AL,Pat Sullivan ,QB,ATL,1972,1975
high_schools.cgi?id=93b89be0,John Carroll,Birmingham,AL,John McGeever,DB,"DEN,MIA",1962,1966
high_schools.cgi?id=93b8aba8,Shades Valley,Birmingham,AL,Daron Payne ,DT,WAS,2018,2020
high_schools.cgi?id=93b8aba8,Shades Valley,Birmingham,AL,Saleem Rasheed,LB,SFO,2002,2005
high_schools.cgi?id=93b8aba8,Shades Valley,Birmingham,AL,Brian Gowins,K,CHI,1999,1999
high_schools.cgi?id=93b8aba8,Shades Valley,Birmingham,AL,Ben Tamburello,G-C,PHI,1987,1990
high_schools.cgi?id=93b8aba8,Shades Valley,Birmingham,AL,George Atkins,G,DET,1955,1955
high_schools.cgi?id=93b8aba8,Shades Valley,Birmingham,AL,Joel McCoy,TB,DET,1946,1946
high_schools.cgi?id=93ba9d6a,Lillie B. Williamson,Mobile,AL,Nick Fairley,DT,"DET,STL,NOR",2011,2016
high_schools.cgi?id=93ba9d6a,Lillie B. Williamson,Mobile,AL,JaMarcus Russell ,QB,OAK,2007,2009
high_schools.cgi?id=93ba9d6a,Lillie B. Williamson,Mobile,AL,Jesse James,C,STL,1995,1996
high_schools.cgi?id=93ba9d6a,Lillie B. Williamson,Mobile,AL,Greg Richardson ,WR,"MIN,TAM",1987,1988
high_schools.cgi?id=93ba9d6a,Lillie B. Williamson,Mobile,AL,Rich Caster,TE-WR,"NYJ,HOU,NOR,WAS",1970,1982
high_schools.cgi?id=93ba9d6a,Lillie B. Williamson,Mobile,AL,Leon Garror ,DB,BUF,1972,1973
high_schools.cgi?id=93bd88a7,Davidson,Mobile,AL,Jaquiski Tartt,SS,SFO,2015,2020
high_schools.cgi?id=93bd88a7,Davidson,Mobile,AL,Jimmie Ward,SS,SFO,2014,2020
high_schools.cgi?id=93bd88a7,Davidson,Mobile,AL,J.J. Johnson,RB,MIA,1999,2001
high_schools.cgi?id=93bd88a7,Davidson,Mobile,AL,Freddie Robinson,DB,IND,1987,1988
high_schools.cgi?id=93bd88a7,Davidson,Mobile,AL,Louis Watson,WR,CLE,1987,1987
high_schools.cgi?id=93bd88a7,Davidson,Mobile,AL,Richard Todd,QB,"NYJ,NOR",1976,1985
high_schools.cgi?id=93be8ebe,Tuscaloosa Co.,Northport,AL,Bo Scarbrough,RB,"DET,SEA",2019,2020
high_schools.cgi?id=93be8ebe,Tuscaloosa Co.,Northport,AL,Le'Ron McClain,RB,"BAL,KAN,SDG",2007,2013
high_schools.cgi?id=93be8ebe,Tuscaloosa Co.,Northport,AL,Andre Royal,LB,"CAR,IND",1995,1999
high_schools.cgi?id=93be8ebe,Tuscaloosa Co.,Northport,AL,Billy Neighbors,G,"BOS,MIA",1962,1969
high_schools.cgi?id=93be8ebe,Tuscaloosa Co.,Northport,AL,Rufus Deal,B,WAS,1942,1942
high_schools.cgi?id=93b8cb1b,Enterprise,Enterprise,AL,T.J. Barnes,DT,"NYJ,BUF,KAN",2014,2016
high_schools.cgi?id=93b8cb1b,Enterprise,Enterprise,AL,Jimmy McClain,LB,"HOU,JAX",2002,2004
high_schools.cgi?id=93b8cb1b,Enterprise,Enterprise,AL,Cedric Smith,FB,"MIN,NOR,WAS,ARI",1990,1997
high_schools.cgi?id=93b8cb1b,Enterprise,Enterprise,AL,Thomas Bailey,WR,CIN,1995,1995
high_schools.cgi?id=93b8cb1b,Enterprise,Enterprise,AL,Bjorn Nittmo,K,NYG,1989,1989
high_schools.cgi?id=93bde2be,Gadsden City,Gadsden,AL,Dre Kirkpatrick,CB,"CIN,ARI",2012,2020
high_schools.cgi?id=93bde2be,Gadsden City,Gadsden,AL,Alonzo Harris,RB,GNB,2015,2015
high_schools.cgi?id=93bde2be,Gadsden City,Gadsden,AL,Aaron Pearson,LB,KAN,1986,1988
